InvoiceNo,InvoiceDate,CustomerID,Total
536365,2010-12-01 08:26:00,17850,139.12
536366,2010-12-01 08:28:00,17850,22.200000000000003
536367,2010-12-01 08:34:00,13047,278.73
536368,2010-12-01 08:34:00,13047,70.05000000000001
536369,2010-12-01 08:35:00,13047,17.85
536370,2010-12-01 08:45:00,12583,855.86
536371,2010-12-01 09:00:00,13748,204.0
536372,2010-12-01 09:01:00,17850,22.200000000000003
536373,2010-12-01 09:02:00,17850,259.86
536374,2010-12-01 09:09:00,15100,350.4
536375,2010-12-01 09:32:00,17850,259.86
536376,2010-12-01 09:32:00,15291,328.8
536377,2010-12-01 09:34:00,17850,22.200000000000003
536378,2010-12-01 09:37:00,14688,444.98
536380,2010-12-01 09:41:00,17809,34.8
536381,2010-12-01 09:41:00,15311,449.9800000000001
C536379,2010-12-01 09:41:00,14527,-27.5
536382,2010-12-01 09:45:00,16098,430.59999999999997
C536383,2010-12-01 09:49:00,15311,-4.65
536384,2010-12-01 09:53:00,18074,489.6
536385,2010-12-01 09:56:00,17420,130.85
536386,2010-12-01 09:57:00,16029,508.20000000000005
536387,2010-12-01 09:58:00,16029,3193.92
536388,2010-12-01 09:59:00,16250,226.14
536389,2010-12-01 10:03:00,12431,358.25
536390,2010-12-01 10:19:00,17511,1825.74
C536391,2010-12-01 10:24:00,17548,-141.48000000000002
536392,2010-12-01 10:29:00,13705,318.14000000000004
536393,2010-12-01 10:37:00,13747,79.6
536394,2010-12-01 10:39:00,13408,1024.6800000000003
536395,2010-12-01 10:47:00,13767,507.88000000000005
536396,2010-12-01 10:51:00,17850,376.36
536397,2010-12-01 10:51:00,17924,279.0
536398,2010-12-01 10:52:00,13448,426.56000000000006
536399,2010-12-01 10:52:00,17850,22.200000000000003
536400,2010-12-01 10:53:00,13448,17.4
536401,2010-12-01 11:21:00,15862,354.22999999999996
536402,2010-12-01 11:22:00,15513,357.0
536403,2010-12-01 11:27:00,12791,192.60000000000002
536404,2010-12-01 11:29:00,16218,471.30000000000007
536405,2010-12-01 11:32:00,14045,326.4
536406,2010-12-01 11:33:00,17850,353.14
536407,2010-12-01 11:34:00,17850,22.200000000000003
536408,2010-12-01 11:41:00,14307,783.1099999999999
536409,2010-12-01 11:45:00,17908,243.27999999999997
536412,2010-12-01 11:49:00,17920,514.41
536415,2010-12-01 11:57:00,12838,390.78999999999996
536416,2010-12-01 11:58:00,13255,225.7
536420,2010-12-01 12:03:00,16583,233.45000000000002
536423,2010-12-01 12:08:00,18085,303.90000000000003
536425,2010-12-01 12:08:00,13758,362.44999999999993
536437,2010-12-01 12:12:00,13694,842.12
536446,2010-12-01 12:15:00,15983,440.89
536460,2010-12-01 12:22:00,14849,295.53999999999996
536463,2010-12-01 12:22:00,14849,17.4
536464,2010-12-01 12:23:00,17968,277.35
536466,2010-12-01 12:23:00,14849,42.9
536477,2010-12-01 12:27:00,16210,2474.7399999999993
536488,2010-12-01 12:31:00,17897,165.88999999999996
536500,2010-12-01 12:35:00,17377,223.89999999999998
536502,2010-12-01 12:36:00,16552,95.29
536508,2010-12-01 12:38:00,17181,155.52
C536506,2010-12-01 12:38:00,17897,-25.5
536514,2010-12-01 12:40:00,17951,295.50000000000006
536520,2010-12-01 12:43:00,14729,313.49000000000007
536521,2010-12-01 12:48:00,12748,4.95
536522,2010-12-01 12:49:00,15012,191.05999999999997
536523,2010-12-01 12:50:00,12868,203.29999999999998
536524,2010-12-01 12:51:00,17572,70.80000000000001
536525,2010-12-01 12:54:00,14078,136.24
536526,2010-12-01 12:58:00,14001,301.24
536527,2010-12-01 13:04:00,12662,261.48
536528,2010-12-01 13:17:00,15525,313.93
536529,2010-12-01 13:20:00,14237,161.00000000000003
536530,2010-12-01 13:21:00,17905,201.74999999999994
536531,2010-12-01 13:23:00,15485,950.0899999999999
536532,2010-12-01 13:24:00,12433,1919.1399999999999
536533,2010-12-01 13:31:00,16955,156.09999999999997
536534,2010-12-01 13:33:00,15350,115.65
536535,2010-12-01 13:38:00,15605,194.85000000000002
536536,2010-12-01 13:45:00,18144,165.04999999999998
536537,2010-12-01 13:51:00,15922,369.50000000000006
536538,2010-12-01 13:54:00,14594,254.99999999999997
536539,2010-12-01 14:03:00,15165,487.75
536540,2010-12-01 14:05:00,14911,540.3799999999999
536541,2010-12-01 14:05:00,14911,15.0
536542,2010-12-01 14:11:00,16456,787.4
C536543,2010-12-01 14:30:00,17841,-3.8
C536548,2010-12-01 14:33:00,12472,-122.3
536551,2010-12-01 14:34:00,17346,146.60999999999999
536556,2010-12-01 14:38:00,17643,101.55
536557,2010-12-01 14:41:00,17841,537.3800000000001
536559,2010-12-01 14:54:00,17873,215.14999999999998
536560,2010-12-01 15:00:00,13093,799.4
536561,2010-12-01 15:06:00,12921,322.4
536562,2010-12-01 15:08:00,13468,308.65000000000003
536563,2010-12-01 15:08:00,17760,172.54
536564,2010-12-01 15:08:00,13468,51.4
536566,2010-12-01 15:21:00,16928,116.25
536567,2010-12-01 15:27:00,16048,251.40000000000003
536568,2010-12-01 15:28:00,16048,5.04
536569,2010-12-01 15:35:00,16274,357.94999999999993
536570,2010-12-01 15:35:00,14496,304.34000000000003
536571,2010-12-01 15:37:00,14696,294.61999999999995
536572,2010-12-01 15:40:00,16539,442.35
