InvoiceNo,StockCode,Quantity,UnitPrice
536365,85123A,6,2.55
536366,22633,6,1.85
536367,84879,32,1.69
536368,22960,6,4.25
536369,21756,3,5.95
536370,22728,24,3.75
536371,22086,80,2.55
536372,22632,6,1.85
536373,85123A,6,2.55
536374,21258,32,10.95
536375,85123A,6,2.55
536376,22114,48,3.45
536377,22632,6,1.85
536378,22386,10,1.95
536380,22961,24,1.45
536381,22139,23,4.25
C536379,D,-1,27.5
536382,10002,12,0.85
C536383,35004C,-1,4.65
536384,82484,3,6.45
536385,22783,1,19.95
536386,84880,36,4.95
536387,79321,192,3.82
536388,21754,3,5.95
536389,22941,6,8.5
536390,22941,2,8.5
C536391,22556,-12,1.65
536392,22150,6,1.95
536393,22180,8,9.95
536394,21506,24,0.42
536395,22188,8,3.95
536396,85123A,6,2.55
536397,35004B,12,4.65
536398,21980,24,0.29
536399,22632,6,1.85
536400,22969,12,1.45
536401,22110,1,2.55
536402,22086,40,2.55
536403,22867,96,1.85
536404,22297,24,1.25
536405,20914,128,2.55
536406,85123A,8,2.55
536407,22632,6,1.85
536408,22537,24,0.42
536409,90199C,3,6.35
536412,20728,3,1.65
536414,22139,56,0.0
536415,22952,10,0.55
536416,21494,12,1.25
536420,21889,12,1.25
536423,22619,4,3.75
536425,22837,8,4.65
536437,21154,200,1.06
536446,85172,32,0.42
536460,22670,12,1.25
536463,82552,12,1.45
536464,90200B,2,4.25
536466,22960,6,4.25
536477,21314,48,1.85
536488,22738,5,1.65
536500,21622,10,4.95
536502,84879,16,1.69
536508,84947,72,1.06
C536506,22960,-6,4.25
536514,22865,36,2.1
536520,21794,1,6.75
536521,22854,1,4.95
536522,84997D,1,3.75
536523,22943,6,4.95
536524,21111,6,2.95
536525,21826,2,1.25
536526,21135,16,1.69
536527,22809,6,2.95
536528,22815,12,0.42
536529,22222,3,4.95
536530,22360,2,2.95
536531,21519,24,0.42
536532,84692,50,0.42
536533,20754,6,2.1
536534,22866,12,2.1
536535,22943,3,4.95
536536,21485,3,4.95
536537,22277,36,2.1
536538,21466,1,3.75
536539,22969,12,1.45
536540,22968,4,9.95
536541,21915,12,1.25
536542,22382,10,1.65
C536543,22632,-1,2.1
536544,21773,1,2.51
536545,21134,1,0.0
536546,22145,1,0.0
536547,37509,1,0.0
C536548,22244,-4,1.95
536549,85226A,1,0.0
536550,85044,1,0.0
536551,84970L,1,0.95
536552,20950,1,0.0
536553,37461,3,0.0
536554,84670,23,0.0
536555,20697,1,2.55
536556,22599,12,0.85
536557,21495,25,0.42
536558,22802,5,19.95
536559,84884A,10,3.95
536560,79321,48,4.25
536561,22318,6,2.95
536562,21777,2,7.95
536563,85199S,72,0.42
536564,37446,8,1.45
536565,21372,1,2.95
536566,21668,6,1.25
536567,22867,24,2.1
536568,22915,12,0.42
536569,22171,1,8.5
536570,84836,12,1.25
536571,85032D,6,2.1
536572,22589,6,2.55
536573,84755,16,0.65
536574,21756,3,5.95
536575,21864,72,1.69
536576,22041,144,2.1
536577,20725,60,1.45
536578,22837,12,4.65
536579,21232,216,1.06
536580,22966,12,1.25
536581,85099B,200,1.65
536582,21668,12,1.25
536583,21156,120,1.65
536584,84029E,384,2.95
536585,37449,2,9.95
536586,22846,8,14.95
536587,37448,12,1.49
536588,22960,6,4.25
536589,21777,-10,0.0
536590,22969,12,1.45
536591,21427,1,2.1
